,Unnamed: 0,promedio,indice,fecha
0,0,-0.5316717028617859,ndwi,2010001
1,1,-0.4966889321804047,ndwi,2010009
2,2,-0.4411703050136566,ndwi,2010017
3,3,-0.4923794269561768,ndwi,2010025
4,4,-0.5064738392829895,ndwi,2010033
5,5,-0.531031608581543,ndwi,2010041
6,6,-0.5063493251800537,ndwi,2010049
7,7,-0.5531229972839355,ndwi,2010057
8,8,-0.5262489318847656,ndwi,2010065
9,9,-0.4239413142204285,ndwi,2010073
10,10,-0.4605515599250794,ndwi,2010081
11,11,-0.5093940496444702,ndwi,2010089
12,12,-0.4863467812538147,ndwi,2010097
13,13,-0.4521481394767761,ndwi,2010105
14,14,-0.4827373623847962,ndwi,2010113
15,15,-0.4580751657485962,ndwi,2010121
16,16,-0.4797766506671906,ndwi,2010129
17,17,-0.4015109241008759,ndwi,2010137
18,18,-0.457535594701767,ndwi,2010145
19,19,-0.3945966958999634,ndwi,2010153
20,20,-0.361443817615509,ndwi,2010161
21,21,-0.3830296397209168,ndwi,2010169
22,22,-0.4358293414115906,ndwi,2010177
23,23,-0.32783839106559753,ndwi,2010185
24,24,-0.4599335491657257,ndwi,2010193
25,25,-0.4326779246330261,ndwi,2010201
26,26,-0.4152096509933472,ndwi,2010209
27,27,-0.411647379398346,ndwi,2010217
28,28,-0.3967882990837097,ndwi,2010225
29,29,-0.3773610591888428,ndwi,2010233
30,30,-0.4895440340042114,ndwi,2010241
31,31,-0.4786926507949829,ndwi,2010249
32,32,-0.4840934872627258,ndwi,2010257
33,33,-0.4972486197948456,ndwi,2010265
34,34,-0.5037358403205872,ndwi,2010273
35,35,-0.4894535839557648,ndwi,2010281
36,36,-0.5168697237968445,ndwi,2010289
37,37,-0.498892068862915,ndwi,2010297
38,38,-0.4958174824714661,ndwi,2010305
39,39,-0.4781166911125183,ndwi,2010313
40,40,-0.4929531812667847,ndwi,2010321
41,41,-0.5215173959732056,ndwi,2010329
42,42,-0.5192022919654846,ndwi,2010337
43,43,-0.5056244730949402,ndwi,2010345
44,44,-0.5181169509887695,ndwi,2010353
45,45,-0.5447877645492554,ndwi,2010361
46,46,-0.5406777858734131,ndwi,2011001
47,47,-0.5486655235290527,ndwi,2011009
48,48,-0.5282758474349976,ndwi,2011017
49,49,-0.4288629591464996,ndwi,2011025
50,50,-0.5233571529388428,ndwi,2011033
51,51,-0.5629717111587524,ndwi,2011041
52,52,-0.5141907930374146,ndwi,2011049
53,53,-0.5079580545425415,ndwi,2011057
54,54,-0.5094419121742249,ndwi,2011065
55,55,-0.4812849760055542,ndwi,2011073
56,56,-0.4835492074489594,ndwi,2011081
57,57,-0.5013002157211304,ndwi,2011089
58,58,-0.4901055991649628,ndwi,2011097
59,59,-0.4701356291770935,ndwi,2011105
