,Unnamed: 0,promedio,indice,fecha
0,0,-0.5592766404151917,ndwi,2010001
1,1,-0.4693987667560578,ndwi,2010009
2,2,-0.5057133436203003,ndwi,2010017
3,3,-0.5148968696594238,ndwi,2010025
4,4,-0.5116140842437744,ndwi,2010033
5,5,-0.5521318316459656,ndwi,2010041
6,6,-0.5201320052146912,ndwi,2010049
7,7,-0.5546250343322754,ndwi,2010057
8,8,-0.5400234460830688,ndwi,2010065
9,9,-0.5154722929000854,ndwi,2010073
10,10,-0.5047810673713684,ndwi,2010081
11,11,-0.5381801724433899,ndwi,2010089
12,12,-0.5255281925201416,ndwi,2010097
13,13,-0.5136550664901733,ndwi,2010105
14,14,-0.5325925946235657,ndwi,2010113
15,15,-0.4508086144924164,ndwi,2010121
16,16,-0.5179204344749451,ndwi,2010129
17,17,-0.4102744460105896,ndwi,2010137
18,18,-0.385065883398056,ndwi,2010145
19,19,-0.4285714328289032,ndwi,2010153
20,20,-0.2375894784927368,ndwi,2010161
21,21,-0.4937402307987213,ndwi,2010169
22,22,-0.44261378049850464,ndwi,2010177
23,23,-0.491951048374176,ndwi,2010185
24,24,-0.499501496553421,ndwi,2010193
25,25,-0.44695988297462463,ndwi,2010201
26,26,-0.4321951270103455,ndwi,2010209
27,27,-0.41904762387275696,ndwi,2010217
28,28,-0.389160692691803,ndwi,2010225
29,29,-0.4098851680755615,ndwi,2010233
30,30,-0.4895865619182586,ndwi,2010241
31,31,-0.4697674512863159,ndwi,2010249
32,32,-0.4919377565383911,ndwi,2010257
33,33,-0.5041322112083435,ndwi,2010265
34,34,-0.4983388781547546,ndwi,2010273
35,35,-0.4456964731216431,ndwi,2010281
36,36,-0.5205262899398804,ndwi,2010289
37,37,-0.4977934658527374,ndwi,2010297
38,38,-0.4944785237312317,ndwi,2010305
39,39,-0.4607607126235962,ndwi,2010313
40,40,-0.5687732100486755,ndwi,2010321
41,41,-0.498675137758255,ndwi,2010329
42,42,-0.5086463689804077,ndwi,2010337
43,43,-0.4853050112724304,ndwi,2010345
44,44,-0.5151178836822511,ndwi,2010353
45,45,-0.516635000705719,ndwi,2010361
46,46,-0.5330477356910706,ndwi,2011001
47,47,-0.5329186320304871,ndwi,2011009
48,48,-0.530687689781189,ndwi,2011017
49,49,-0.4647758603096008,ndwi,2011025
50,50,-0.5466352105140686,ndwi,2011033
51,51,-0.562031626701355,ndwi,2011041
52,52,-0.3981233239173889,ndwi,2011049
53,53,-0.5177249908447266,ndwi,2011057
54,54,-0.5230000019073486,ndwi,2011065
55,55,-0.4929681718349457,ndwi,2011073
56,56,-0.5141935348510742,ndwi,2011081
57,57,-0.5171868801116943,ndwi,2011089
58,58,-0.5111111402511597,ndwi,2011097
59,59,-0.49710147082805634,ndwi,2011105
60,60,-0.48309180140495295,ndwi,2011113
61,61,-0.4762611389160156,ndwi,2011121
62,62,-0.4877603352069855,ndwi,2011129
63,63,-0.5178635716438293,ndwi,2011137
64,64,-0.4855218827724457,ndwi,2011145
65,65,-0.5175072550773621,ndwi,2011153
