,Unnamed: 0,promedio,indice,fecha
0,0,-0.4589540064334869,mndwi,2010001
1,1,-0.42300426959991455,mndwi,2010009
2,2,-0.4051420092582703,mndwi,2010017
3,3,-0.4503657817840576,mndwi,2010025
4,4,-0.457164078950882,mndwi,2010033
5,5,-0.4901477694511414,mndwi,2010041
6,6,-0.4445085525512695,mndwi,2010049
7,7,-0.5092056393623352,mndwi,2010057
8,8,-0.494604617357254,mndwi,2010065
9,9,-0.3866364359855652,mndwi,2010073
10,10,-0.4096992611885071,mndwi,2010081
11,11,-0.4681685268878937,mndwi,2010089
12,12,-0.4529024958610535,mndwi,2010097
13,13,-0.4309064149856568,mndwi,2010105
14,14,-0.462873101234436,mndwi,2010113
15,15,-0.4312570095062256,mndwi,2010121
16,16,-0.4639072120189667,mndwi,2010129
17,17,-0.4036204516887665,mndwi,2010137
18,18,-0.4492401480674744,mndwi,2010145
19,19,-0.41978368163108826,mndwi,2010153
20,20,-0.3573018014431,mndwi,2010161
21,21,-0.3917473554611206,mndwi,2010169
22,22,-0.4663542211055756,mndwi,2010177
23,23,-0.3367864489555359,mndwi,2010185
24,24,-0.5009085536003113,mndwi,2010193
25,25,-0.4981218576431274,mndwi,2010201
26,26,-0.4889867305755615,mndwi,2010209
27,27,-0.4967373609542847,mndwi,2010217
28,28,-0.481237381696701,mndwi,2010225
29,29,-0.4282167553901672,mndwi,2010233
30,30,-0.5471116900444031,mndwi,2010241
31,31,-0.5405372381210327,mndwi,2010249
32,32,-0.5440686345100403,mndwi,2010257
33,33,-0.5350420475006104,mndwi,2010265
34,34,-0.5441951155662537,mndwi,2010273
35,35,-0.5343544483184814,mndwi,2010281
36,36,-0.5498346090316772,mndwi,2010289
37,37,-0.5335222482681274,mndwi,2010297
38,38,-0.5324523448944092,mndwi,2010305
39,39,-0.5217915177345276,mndwi,2010313
40,40,-0.5281839966773987,mndwi,2010321
41,41,-0.5443370938301086,mndwi,2010329
42,42,-0.5275785923004149,mndwi,2010337
43,43,-0.5273364782333374,mndwi,2010345
44,44,-0.496339499950409,mndwi,2010353
45,45,-0.5142396688461304,mndwi,2010361
46,46,-0.5216815471649171,mndwi,2011001
47,47,-0.5060622692108154,mndwi,2011009
48,48,-0.4563167095184326,mndwi,2011017
49,49,-0.3738230466842651,mndwi,2011025
50,50,-0.43970465660095215,mndwi,2011033
51,51,-0.4989529550075531,mndwi,2011041
52,52,-0.4439018666744232,mndwi,2011049
53,53,-0.4766882956027985,mndwi,2011057
54,54,-0.4867165684700012,mndwi,2011065
55,55,-0.4726096093654633,mndwi,2011073
56,56,-0.4746904671192169,mndwi,2011081
57,57,-0.508206307888031,mndwi,2011089
58,58,-0.4976651072502136,mndwi,2011097
59,59,-0.48541535437107086,mndwi,2011105
60,60,-0.4731656014919281,mndwi,2011113
61,61,-0.5040128827095032,mndwi,2011121
62,62,-0.3856205344200134,mndwi,2011129
63,63,-0.5171262621879578,mndwi,2011137
64,64,-0.4844909906387329,mndwi,2011145
65,65,-0.5347189903259277,mndwi,2011153
66,66,-0.5131013989448547,mndwi,2011161
67,67,-0.5118084549903871,mndwi,2011169
68,68,-0.5446437597274779,mndwi,2011177
69,69,-0.4950535893440247,mndwi,2011185
70,70,-0.4681544899940491,mndwi,2011193
71,71,-0.5175331234931946,mndwi,2011201
72,72,-0.5209753513336182,mndwi,2011209
73,73,-0.539471447467804,mndwi,2011217
74,74,-0.5383046865463257,mndwi,2011225
75,75,-0.5531449317932129,mndwi,2011233
76,76,-0.5201700925827026,mndwi,2011241
77,77,-0.5224017500877379,mndwi,2011249
78,78,-0.5187192559242249,mndwi,2011257
79,79,-0.530876100063324,mndwi,2011265
80,80,-0.5350731015205383,mndwi,2011273
81,81,-0.5316269397735596,mndwi,2011281
82,82,-0.5435172319412231,mndwi,2011289
83,83,-0.5320929884910583,mndwi,2011297
84,84,-0.4906293451786041,mndwi,2011305
85,85,-0.4982935786247253,mndwi,2011313
86,86,-0.4777764976024628,mndwi,2011321
87,87,-0.5047387480735779,mndwi,2011329
88,88,-0.4943601489067078,mndwi,2011337
89,89,-0.5035151243209839,mndwi,2011345
90,90,-0.4716996848583221,mndwi,2011353
91,91,-0.4904611706733704,mndwi,2011361
92,92,-0.4904611706733704,mndwi,2012001
93,93,-0.5246769785881042,mndwi,2012009
94,94,-0.497981458902359,mndwi,2012017
95,95,-0.5098674297332764,mndwi,2012025
96,96,-0.5122110843658447,mndwi,2012033
97,97,-0.508357048034668,mndwi,2012041
98,98,-0.4391764104366303,mndwi,2012049
99,99,-0.4870295226573944,mndwi,2012057
100,100,-0.4415084719657898,mndwi,2012065
101,101,-0.4603780806064606,mndwi,2012073
102,102,-0.4553412199020386,mndwi,2012081
103,103,-0.4912939369678497,mndwi,2012089
104,104,-0.4889571666717529,mndwi,2012097
105,105,-0.4770627915859222,mndwi,2012105
106,106,-0.4539579749107361,mndwi,2012113
107,107,-0.4972618222236633,mndwi,2012121
108,108,-0.4971644580364227,mndwi,2012129
109,109,-0.5047358870506287,mndwi,2012137
110,110,-0.5170713663101196,mndwi,2012145
111,111,-0.4938923120498657,mndwi,2012153
112,112,-0.4691731333732605,mndwi,2012161
113,113,-0.5397730469703674,mndwi,2012169
114,114,-0.5423057675361633,mndwi,2012177
115,115,-0.5165194869041443,mndwi,2012185
116,116,-0.5337070226669312,mndwi,2012193
117,117,-0.5376640558242798,mndwi,2012201
118,118,-0.5033662319183351,mndwi,2012209
119,119,-0.5213997364044191,mndwi,2012217
120,120,-0.5205392837524414,mndwi,2012225
121,121,-0.5039852261543274,mndwi,2012233
122,122,-0.4992449581623077,mndwi,2012241
123,123,-0.5286537408828735,mndwi,2012249
124,124,-0.5238670110702515,mndwi,2012257
125,125,-0.5341474413871765,mndwi,2012265
126,126,-0.5233074426651001,mndwi,2012273
127,127,-0.5302618741989136,mndwi,2012281
128,128,-0.5322446227073669,mndwi,2012289
129,129,-0.5132893919944763,mndwi,2012297
130,130,-0.5207964777946472,mndwi,2012305
131,131,-0.5326175093650818,mndwi,2012313
132,132,-0.4537180662155152,mndwi,2012321
133,133,-0.4908548295497894,mndwi,2012329
134,134,-0.5028172135353088,mndwi,2012337
135,135,-0.3072795867919922,mndwi,2012345
136,136,-0.3758104741573334,mndwi,2012353
137,137,-0.22189167141914368,mndwi,2012361
138,138,-0.29899224638938904,mndwi,2013001
139,139,-0.24795112013816836,mndwi,2013009
140,140,-0.34541672468185425,mndwi,2013017
141,141,-0.3518356382846832,mndwi,2013025
142,142,-0.39470410346984863,mndwi,2013033
143,143,-0.4375303387641907,mndwi,2013041
144,144,-0.4583131670951843,mndwi,2013049
145,145,-0.476906806230545,mndwi,2013057
146,146,-0.41161292791366577,mndwi,2013065
147,147,-0.3774625062942505,mndwi,2013073
148,148,-0.4082836210727692,mndwi,2013081
149,149,-0.4519111216068268,mndwi,2013089
150,150,-0.456435889005661,mndwi,2013097
151,151,-0.3863022923469544,mndwi,2013105
152,152,-0.4046441316604614,mndwi,2013113
153,153,-0.41538551449775696,mndwi,2013121
154,154,-0.4443666934967041,mndwi,2013129
155,155,-0.42841607332229614,mndwi,2013137
156,156,-0.4417518973350525,mndwi,2013145
157,157,-0.4895609319210053,mndwi,2013153
158,158,-0.4781543016433716,mndwi,2013161
159,159,-0.4109457135200501,mndwi,2013169
160,160,-0.4344622492790222,mndwi,2013177
161,161,-0.44671134650707245,mndwi,2013185
162,162,-0.4589604437351227,mndwi,2013193
163,163,-0.46036297082901,mndwi,2013201
164,164,-0.4550176858901978,mndwi,2013209
165,165,-0.4999711513519287,mndwi,2013217
166,166,-0.486126720905304,mndwi,2013225
167,167,-0.4725846946239472,mndwi,2013233
168,168,-0.5000786185264587,mndwi,2013241
169,169,-0.508260190486908,mndwi,2013249
170,170,-0.5010074973106384,mndwi,2013257
171,171,-0.5173789858818054,mndwi,2013265
172,172,-0.5176593065261841,mndwi,2013273
173,173,-0.5060281157493591,mndwi,2013281
174,174,-0.5281473398208618,mndwi,2013289
175,175,-0.5109674930572511,mndwi,2013297
176,176,-0.5004546642303467,mndwi,2013305
177,177,-0.4737379550933838,mndwi,2013313
178,178,-0.4908443689346314,mndwi,2013321
179,179,-0.4832135438919067,mndwi,2013329
180,180,-0.4944824874401093,mndwi,2013337
181,181,-0.43803244829177856,mndwi,2013345
182,182,-0.4660176932811737,mndwi,2013353
183,183,-0.4841795265674591,mndwi,2013361
184,184,-0.4860730767250061,mndwi,2014001
