,Unnamed: 0,promedio,indice,fecha
0,0,-0.5033773183822632,ndwi,2010001
1,1,-0.4506081342697144,ndwi,2010009
2,2,-0.481669694185257,ndwi,2010017
3,3,-0.5264116525650024,ndwi,2010025
4,4,-0.5208830833435059,ndwi,2010033
5,5,-0.5207796096801758,ndwi,2010041
6,6,-0.5374485850334167,ndwi,2010049
7,7,-0.5654416680335999,ndwi,2010057
8,8,-0.5335608720779419,ndwi,2010065
9,9,-0.4924137890338898,ndwi,2010073
10,10,-0.4212827980518341,ndwi,2010081
11,11,-0.5366522669792175,ndwi,2010089
12,12,-0.5271695256233215,ndwi,2010097
13,13,-0.5172413587570189,ndwi,2010105
14,14,-0.5161707401275635,ndwi,2010113
15,15,-0.4934886991977692,ndwi,2010121
16,16,-0.4992941319942474,ndwi,2010129
17,17,-0.39500463008880615,ndwi,2010137
18,18,-0.43220877647399897,ndwi,2010145
19,19,-0.4417372941970825,ndwi,2010153
20,20,-0.2375894784927368,ndwi,2010161
21,21,-0.5331057906150818,ndwi,2010169
22,22,-0.470552146434784,ndwi,2010177
23,23,-0.491951048374176,ndwi,2010185
24,24,-0.4515852630138397,ndwi,2010193
25,25,-0.4534815549850464,ndwi,2010201
26,26,-0.4191795587539673,ndwi,2010209
27,27,-0.4195764064788817,ndwi,2010217
28,28,-0.3704695701599121,ndwi,2010225
29,29,-0.3837658762931824,ndwi,2010233
30,30,-0.5057273507118225,ndwi,2010241
31,31,-0.4303659200668335,ndwi,2010249
32,32,-0.4930576086044312,ndwi,2010257
33,33,-0.5150969028472899,ndwi,2010265
34,34,-0.5156424641609192,ndwi,2010273
35,35,-0.4442477822303772,ndwi,2010281
36,36,-0.5074344277381897,ndwi,2010289
37,37,-0.4873144924640656,ndwi,2010297
38,38,-0.4947735071182251,ndwi,2010305
39,39,-0.4611242711544037,ndwi,2010313
40,40,-0.4252736270427704,ndwi,2010321
41,41,-0.4949333369731903,ndwi,2010329
42,42,-0.504444420337677,ndwi,2010337
43,43,-0.4907813966274262,ndwi,2010345
44,44,-0.4935762584209442,ndwi,2010353
45,45,-0.4668286740779877,ndwi,2010361
46,46,-0.5230769515037537,ndwi,2011001
47,47,-0.5186214447021484,ndwi,2011009
48,48,-0.5194297432899475,ndwi,2011017
49,49,-0.5178837776184082,ndwi,2011025
50,50,-0.531596302986145,ndwi,2011033
51,51,-0.5546438097953796,ndwi,2011041
52,52,-0.521759033203125,ndwi,2011049
53,53,-0.5148420333862305,ndwi,2011057
54,54,-0.4901281595230103,ndwi,2011065
55,55,-0.4945913553237915,ndwi,2011073
56,56,-0.5167064666748047,ndwi,2011081
57,57,-0.5098722577095032,ndwi,2011089
58,58,-0.4967948794364929,ndwi,2011097
59,59,-0.49393634498119354,ndwi,2011105
60,60,-0.4910778105258942,ndwi,2011113
61,61,-0.4804381728172302,ndwi,2011121
62,62,-0.5473684072494507,ndwi,2011129
63,63,-0.5044519305229187,ndwi,2011137
64,64,-0.5097103118896484,ndwi,2011145
65,65,-0.5235378146171571,ndwi,2011153
66,66,-0.4957216084003449,ndwi,2011161
67,67,-0.4953736662864685,ndwi,2011169
68,68,-0.4526987671852112,ndwi,2011177
69,69,-0.4175627231597901,ndwi,2011185
70,70,-0.3937111794948578,ndwi,2011193
71,71,-0.458973228931427,ndwi,2011201
72,72,-0.4384370744228363,ndwi,2011209
73,73,-0.4758390784263611,ndwi,2011217
74,74,-0.4826203286647797,ndwi,2011225
75,75,-0.46355140209198,ndwi,2011233
76,76,-0.4474388062953949,ndwi,2011241
77,77,-0.4437845647335053,ndwi,2011249
78,78,-0.4682501256465912,ndwi,2011257
79,79,-0.4599101841449738,ndwi,2011265
80,80,-0.4813780188560486,ndwi,2011273
81,81,-0.4842417538166046,ndwi,2011281
82,82,-0.4879755079746246,ndwi,2011289
83,83,-0.4898802042007446,ndwi,2011297
84,84,-0.4934991598129273,ndwi,2011305
85,85,-0.5231092572212219,ndwi,2011313
86,86,-0.5053022503852844,ndwi,2011321
87,87,-0.4859601557254791,ndwi,2011329
88,88,-0.4679003059864044,ndwi,2011337
89,89,-0.44236883521080017,ndwi,2011345
90,90,-0.4274042546749115,ndwi,2011353
91,91,-0.4451322555541992,ndwi,2011361
92,92,-0.4451322555541992,ndwi,2012001
93,93,-0.4426158368587494,ndwi,2012009
94,94,-0.4479520916938782,ndwi,2012017
95,95,-0.490927666425705,ndwi,2012025
96,96,-0.5534855723381042,ndwi,2012033
97,97,-0.5290666818618774,ndwi,2012041
98,98,-0.4969474971294403,ndwi,2012049
99,99,-0.5019490718841553,ndwi,2012057
100,100,-0.5542539954185486,ndwi,2012065
101,101,-0.5478753447532654,ndwi,2012073
102,102,-0.5182226896286011,ndwi,2012081
103,103,-0.5273499488830566,ndwi,2012089
104,104,-0.5103229284286499,ndwi,2012097
105,105,-0.5287810564041138,ndwi,2012105
106,106,-0.4890666604042053,ndwi,2012113
107,107,-0.522186279296875,ndwi,2012121
108,108,-0.5031126141548157,ndwi,2012129
109,109,-0.4961038827896118,ndwi,2012137
110,110,-0.5621421337127686,ndwi,2012145
111,111,-0.5008062124252319,ndwi,2012153
112,112,-0.4330927133560181,ndwi,2012161
113,113,-0.4114542007446289,ndwi,2012169
114,114,-0.479010283946991,ndwi,2012177
115,115,-0.4860927164554596,ndwi,2012185
116,116,-0.4749933779239655,ndwi,2012193
117,117,-0.4572742581367493,ndwi,2012201
118,118,-0.4268574118614197,ndwi,2012209
119,119,-0.44535744190216064,ndwi,2012217
120,120,-0.4868565201759338,ndwi,2012225
121,121,-0.5009682178497314,ndwi,2012233
