,Unnamed: 0,promedio,indice,fecha
0,0,-0.4738900363445282,mndwi,2010001
1,1,-0.3977927267551422,mndwi,2010009
2,2,-0.4223876297473908,mndwi,2010017
3,3,-0.4432640075683594,mndwi,2010025
4,4,-0.4271112680435181,mndwi,2010033
5,5,-0.4435002505779265,mndwi,2010041
6,6,-0.3929227888584137,mndwi,2010049
7,7,-0.4443316161632538,mndwi,2010057
8,8,-0.4280373454093933,mndwi,2010065
9,9,-0.4051988124847412,mndwi,2010073
10,10,-0.40942147374153137,mndwi,2010081
11,11,-0.4101527333259583,mndwi,2010089
12,12,-0.3957560360431671,mndwi,2010097
13,13,-0.3876771628856659,mndwi,2010105
14,14,-0.3959017693996429,mndwi,2010113
15,15,-0.3516900539398193,mndwi,2010121
16,16,-0.40246444940567017,mndwi,2010129
17,17,-0.35008952021598816,mndwi,2010137
18,18,-0.4203953146934509,mndwi,2010145
19,19,-0.3907782733440399,mndwi,2010153
20,20,-0.2971992492675781,mndwi,2010161
21,21,-0.3232511579990387,mndwi,2010169
22,22,-0.4191411733627319,mndwi,2010177
23,23,-0.39840108156204224,mndwi,2010185
24,24,-0.4445347487926483,mndwi,2010193
25,25,-0.43691542744636536,mndwi,2010201
26,26,-0.4271102249622345,mndwi,2010209
27,27,-0.41042909026145935,mndwi,2010217
28,28,-0.41875502467155457,mndwi,2010225
29,29,-0.3798478841781616,mndwi,2010233
30,30,-0.4532391726970673,mndwi,2010241
31,31,-0.4602278172969818,mndwi,2010249
32,32,-0.4456456005573273,mndwi,2010257
33,33,-0.5177960991859436,mndwi,2010265
34,34,-0.5233811140060425,mndwi,2010273
35,35,-0.5124750137329102,mndwi,2010281
36,36,-0.5174340009689331,mndwi,2010289
37,37,-0.5070797801017761,mndwi,2010297
38,38,-0.4999121129512787,mndwi,2010305
39,39,-0.4889402687549591,mndwi,2010313
40,40,-0.43375998735427856,mndwi,2010321
41,41,-0.5009471774101257,mndwi,2010329
42,42,-0.4911344647407532,mndwi,2010337
43,43,-0.4958042502403259,mndwi,2010345
44,44,-0.4573869407176971,mndwi,2010353
45,45,-0.5021899938583374,mndwi,2010361
46,46,-0.4966674745082855,mndwi,2011001
47,47,-0.4933290183544159,mndwi,2011009
48,48,-0.4955796897411346,mndwi,2011017
49,49,-0.3603486716747284,mndwi,2011025
50,50,-0.4432735443115233,mndwi,2011033
51,51,-0.4809038043022156,mndwi,2011041
52,52,-0.3062846064567566,mndwi,2011049
53,53,-0.4281191229820252,mndwi,2011057
54,54,-0.45948180556297297,mndwi,2011065
55,55,-0.4213405251502991,mndwi,2011073
56,56,-0.4235836863517761,mndwi,2011081
57,57,-0.4528214931488037,mndwi,2011089
58,58,-0.4406997561454773,mndwi,2011097
59,59,-0.43010351061820984,mndwi,2011105
60,60,-0.4195072650909424,mndwi,2011113
61,61,-0.4294910132884979,mndwi,2011121
62,62,-0.3106687963008881,mndwi,2011129
63,63,-0.4492511749267578,mndwi,2011137
64,64,-0.42247474193573,mndwi,2011145
65,65,-0.4520632922649384,mndwi,2011153
66,66,-0.4545375108718872,mndwi,2011161
67,67,-0.4634707272052765,mndwi,2011169
68,68,-0.4671215116977692,mndwi,2011177
69,69,-0.4370921850204468,mndwi,2011185
70,70,-0.4090171158313751,mndwi,2011193
71,71,-0.461431622505188,mndwi,2011201
72,72,-0.4514623284339905,mndwi,2011209
73,73,-0.4736458957195282,mndwi,2011217
74,74,-0.4802789688110352,mndwi,2011225
75,75,-0.4759345650672913,mndwi,2011233
76,76,-0.457643210887909,mndwi,2011241
77,77,-0.455853283405304,mndwi,2011249
78,78,-0.4449034631252289,mndwi,2011257
79,79,-0.4578601717948914,mndwi,2011265
80,80,-0.4644118547439575,mndwi,2011273
81,81,-0.4710184335708618,mndwi,2011281
82,82,-0.4793885052204132,mndwi,2011289
83,83,-0.4715455174446106,mndwi,2011297
84,84,-0.4612147808074951,mndwi,2011305
85,85,-0.4427809119224548,mndwi,2011313
86,86,-0.4483348727226257,mndwi,2011321
87,87,-0.4630226194858551,mndwi,2011329
88,88,-0.4501518309116364,mndwi,2011337
89,89,-0.4424565136432648,mndwi,2011345
90,90,-0.4265383780002594,mndwi,2011353
91,91,-0.4286913275718689,mndwi,2011361
92,92,-0.4286913275718689,mndwi,2012001
93,93,-0.4355219900608063,mndwi,2012009
94,94,-0.4463256895542145,mndwi,2012017
95,95,-0.4467125236988068,mndwi,2012025
96,96,-0.4583462178707123,mndwi,2012033
97,97,-0.4605229198932648,mndwi,2012041
98,98,-0.4851280450820923,mndwi,2012049
99,99,-0.4877145886421204,mndwi,2012057
100,100,-0.4730828404426575,mndwi,2012065
101,101,-0.4874044358730316,mndwi,2012073
102,102,-0.4709790349006653,mndwi,2012081
103,103,-0.4904598891735077,mndwi,2012089
104,104,-0.5011862516403198,mndwi,2012097
105,105,-0.4901815354824066,mndwi,2012105
106,106,-0.4580841362476349,mndwi,2012113
107,107,-0.505174994468689,mndwi,2012121
108,108,-0.4865224957466126,mndwi,2012129
109,109,-0.4873718917369842,mndwi,2012137
110,110,-0.503415048122406,mndwi,2012145
111,111,-0.4823881387710571,mndwi,2012153
112,112,-0.4609407484531402,mndwi,2012161
113,113,-0.4974243640899658,mndwi,2012169
114,114,-0.5087636113166809,mndwi,2012177
115,115,-0.4922048151493073,mndwi,2012185
116,116,-0.5049117803573608,mndwi,2012193
117,117,-0.5064797401428223,mndwi,2012201
118,118,-0.4560078680515289,mndwi,2012209
